symbol	old_crc	new_crc	status
+module_layout	0x3a3eb6e9	0x3a3eb6e9	IDENTICAL
flush_work	0x2f2c95c4	0x2f2c95c4	IDENTICAL
system_wq	0x2d3385d3	0x2d3385d3	IDENTICAL
kmalloc_caches	0xc853d0c1	0xc853d0c1	IDENTICAL
usb_gstrings_attach	0xf03affba	0xf03affba	IDENTICAL
usb_free_all_descriptors	0x349f6745	0x349f6745	IDENTICAL
strchr	0x349cba85	0x349cba85	IDENTICAL
strlen	0x98cf60b3	0x98cf60b3	IDENTICAL
get_random_bytes	0x41ed3709	0x41ed3709	IDENTICAL
hrtimer_cancel	0xa0c6befa	0xa0c6befa	IDENTICAL
rtnl_lock	0xc7a4fbed	0xc7a4fbed	IDENTICAL
netif_carrier_on	0xa7168f9a	0xa7168f9a	IDENTICAL
hex_to_bin	0xab6d5b3b	0xab6d5b3b	IDENTICAL
netif_carrier_off	0x850b4108	0x850b4108	IDENTICAL
ktime_get	0xb43f9365	0xb43f9365	IDENTICAL
sbat6_ncm_tx_queue	0x9e7fa787	0x9e7fa787	IDENTICAL
__dev_kfree_skb_any	0x87b9dba2	0x87b9dba2	IDENTICAL
mutex_unlock	0x409bcb62	0x409bcb62	IDENTICAL
sbat6_ncm_rx_error	0x0b5c94b7	0x0b5c94b7	IDENTICAL
sprintf	0x3c3ff9fd	0x3c3ff9fd	IDENTICAL
usb_function_unregister	0x50fcff8a	0x50fcff8a	IDENTICAL
jiffies	0x15ba50a6	0x15ba50a6	IDENTICAL
__netdev_alloc_skb	0x0aea365c	0x0aea365c	IDENTICAL
netif_rx	0xca336344	0xca336344	IDENTICAL
skb_queue_purge	0xeef4be27	0xeef4be27	IDENTICAL
hrtimer_start_range_ns	0xfbdfc558	0xfbdfc558	IDENTICAL
_dev_warn	0x96e8c68d	0x96e8c68d	IDENTICAL
memset	0xdcb764ad	0xdcb764ad	IDENTICAL
netif_tx_wake_queue	0xf6c100b0	0xf6c100b0	IDENTICAL
usb_put_function_instance	0x894defe7	0x894defe7	IDENTICAL
kstrtou8	0x6a6e05bf	0x6a6e05bf	IDENTICAL
__mutex_init	0x977f511b	0x977f511b	IDENTICAL
ethtool_op_get_link	0xd13083a5	0xd13083a5	IDENTICAL
printk	0xc5850110	0xc5850110	IDENTICAL
usb_ep_autoconfig	0x4696de3c	0x4696de3c	IDENTICAL
free_netdev	0x216fb39a	0x216fb39a	IDENTICAL
sbat6_ncm_rx_unwrap	0xee6569af	0xee6569af	IDENTICAL
register_netdev	0xe17e26a0	0xe17e26a0	IDENTICAL
strlcpy	0x5792f848	0x5792f848	IDENTICAL
mutex_lock	0x2ab7989d	0x2ab7989d	IDENTICAL
crc32_le	0x69dd3b5b	0x69dd3b5b	IDENTICAL
config_group_init_type_name	0x875b9ac1	0x875b9ac1	IDENTICAL
_dev_err	0xa168b429	0xa168b429	IDENTICAL
sbat6_ncm_rx_complete	0xb5901e30	0xb5901e30	IDENTICAL
usb_function_register	0x6571549d	0x6571549d	IDENTICAL
print_hex_dump	0x167c5967	0x167c5967	IDENTICAL
skb_queue_tail	0x02b33cc1	0x02b33cc1	IDENTICAL
_dev_info	0xf73df0f0	0xf73df0f0	IDENTICAL
__alloc_skb	0xcb4d5838	0xcb4d5838	IDENTICAL
queued_spin_lock_slowpath	0x9c1e5bf5	0x9c1e5bf5	IDENTICAL
__stack_chk_fail	0xdecd0b29	-	MISSING_NEW
eth_type_trans	0x82df7be2	0x82df7be2	IDENTICAL
cpu_hwcap_keys	0xb384ca2e	0xb384ca2e	IDENTICAL
config_ep_by_speed	0x0e734bc1	0x0e734bc1	IDENTICAL
sbat6_ncm_rx_ntb	0x615fb37c	0x615fb37c	IDENTICAL
kmem_cache_alloc_trace	0x65df82a0	-	MISSING_NEW
eth_validate_addr	0x5fce6074	0x5fce6074	IDENTICAL
kfree	0x037a0cba	0x037a0cba	IDENTICAL
memcpy	0x4829a47e	0x4829a47e	IDENTICAL
sbat6_ncm_tx_complete	0x35343bb1	0x35343bb1	IDENTICAL
scnprintf	0x96848186	0x96848186	IDENTICAL
sbat6_ncm_tx_ntb	0x1c689898	0x1c689898	IDENTICAL
usb_interface_id	0xf3e04da8	0xf3e04da8	IDENTICAL
skb_dequeue	0x2f5b913b	0x2f5b913b	IDENTICAL
unregister_netdev	0x2594d818	0x2594d818	IDENTICAL
hrtimer_try_to_cancel	0x07c23703	0x07c23703	IDENTICAL
queue_work_on	0xc5b6f236	0xc5b6f236	IDENTICAL
snprintf	0x656e4a6e	0x656e4a6e	IDENTICAL
usb_os_desc_prepare_interf_dir	0xfc7b3f68	0xfc7b3f68	IDENTICAL
skb_put	0x0e0fc520	0x0e0fc520	IDENTICAL
eth_mac_addr	0xe4cef668	0xe4cef668	IDENTICAL
arm64_const_caps_ready	0x14b89635	0x14b89635	IDENTICAL
rtnl_unlock	0x6e720ff2	0x6e720ff2	IDENTICAL
alloc_etherdev_mqs	0x224a0869	0x224a0869	IDENTICAL
